Question,Event Category,Region,City
How often are you stressed,All the time,California,(not set)
How often are you stressed,All the time,Michigan,Interlochen
How often are you stressed,All the time,Kentucky,Middlesboro
How often are you stressed,All the time,Connecticut,Essex
How often are you stressed,All the time,Indiana,Ligonier
How often are you stressed,All the time,Texas,Pharr
How often are you stressed,All the time,Arizona,Casas Adobes
How often are you stressed,All the time,Idaho,Meridian
How often are you stressed,All the time,Kansas,Emporia
How often are you stressed,All the time,Connecticut,Meriden
How often are you stressed,All the time,Wisconsin,Prairie du Chien
How often are you stressed,All the time,Michigan,Grand Blanc Township
How often are you stressed,All the time,Oklahoma,Owasso
How often are you stressed,All the time,Kentucky,Oak Grove
How often are you stressed,All the time,Arkansas,Farmington
How often are you stressed,All the time,Missouri,Creve Coeur
How often are you stressed,All the time,Arkansas,Harrison
How often are you stressed,All the time,Michigan,Saint Joseph
How often are you stressed,All the time,New Hampshire,Lebanon
How often are you stressed,All the time,Washington,Seattle
How often are you stressed,All the time,Texas,Houston
How often are you stressed,All the time,Michigan,Macomb
How often are you stressed,All the time,Texas,Dallas
How often are you stressed,All the time,Maryland,Baltimore
How often are you stressed,All the time,Idaho,Blackfoot
How often are you stressed,All the time,Colorado,Denver
How often are you stressed,All the time,Indiana,Highland
How often are you stressed,All the time,Washington,Port Angeles
How often are you stressed,All the time,New Jersey,Jackson
How often are you stressed,All the time,New York,Syracuse
How often are you stressed,All the time,New York,New York
How often are you stressed,All the time,Florida,West Palm Beach
How often are you stressed,All the time,Indiana,Sellersburg
How often are you stressed,All the time,District of Columbia,Washington
How often are you stressed,All the time,Georgia,Gainesville
How often are you stressed,All the time,New York,New York
How often are you stressed,All the time,Georgia,Valdosta
How often are you stressed,All the time,Arizona,Eloy
How often are you stressed,All the time,Pennsylvania,Bernville
How often are you stressed,All the time,Nebraska,Hastings
How often are you stressed,All the time,North Carolina,Concord
How often are you stressed,All the time,Colorado,Denver
How often are you stressed,All the time,Pennsylvania,Pittsburgh
How often are you stressed,All the time,New York,Greece
How often are you stressed,All the time,Tennessee,Coalfield
How often are you stressed,All the time,Connecticut,New Haven
How often are you stressed,All the time,Alabama,Birmingham
How often are you stressed,All the time,California,Hesperia
How often are you stressed,All the time,Florida,Miami
How often are you stressed,All the time,Arizona,Phoenix
How often are you stressed,All the time,Colorado,Colorado Springs
How often are you stressed,All the time,Minnesota,Belle Plaine
How often are you stressed,All the time,Texas,Houston
How often are you stressed,All the time,Alabama,(not set)
How often are you stressed,All the time,Utah,Salt Lake City
How often are you stressed,All the time,California,San Jose
How often are you stressed,All the time,Georgia,Ringgold
How often are you stressed,All the time,Texas,Beaumont
How often are you stressed,All the time,Colorado,Colorado Springs
How often are you stressed,All the time,Oklahoma,Midwest City
How often are you stressed,All the time,Texas,El Paso
How often are you stressed,All the time,Massachusetts,Plymouth
How often are you stressed,All the time,Texas,Dallas
How often are you stressed,All the time,Idaho,Hayden
How often are you stressed,All the time,Maine,Waldoboro
How often are you stressed,All the time,Tennessee,Cleveland
How often are you stressed,All the time,Colorado,Boulder
How often are you stressed,All the time,Oregon,Corvallis
How often are you stressed,All the time,Ohio,Dayton
How often are you stressed,All the time,Texas,Andrews
How often are you stressed,All the time,California,Poway
How often are you stressed,All the time,Minnesota,Minneapolis
How often are you stressed,All the time,Massachusetts,Springfield
How often are you stressed,All the time,Iowa,Newton
How often are you stressed,All the time,Maryland,Rockville
How often are you stressed,All the time,Florida,Miami
How often are you stressed,All the time,Wisconsin,Whitewater
How often are you stressed,All the time,Montana,Bozeman
How often are you stressed,All the time,Vermont,Chester
How often are you stressed,All the time,Idaho,Boise
How often are you stressed,All the time,Texas,Dallas
How often are you stressed,All the time,Texas,Trinity
How often are you stressed,All the time,Texas,Dallas
How often are you stressed,All the time,New York,West Seneca
How often are you stressed,All the time,Georgia,Vidalia
